"Rank","Bank","Headquarters location","Number of deals (2010-2019)","Number of companies lending & underwriting","Total value of loans & underwriting","Value share of loans of SUP polymer production","Value share of equity underwriting of SUP polymer production","Value share of bonds underwriting of SUP polymer production","Total value share of lending & underwriting of SUP polymer production"
"31","Commerzbank","Germany","98","11","5.8","0.4","0.0","0.3","0.7"
"32","Standard Chartered","United Kingdom","279","22","19.5","0.3","–","0.2","0.6"
"33","Bank of China","China","273","23","23.4","0.3","0.0","0.3","0.6"
"34","BNDES","Brazil","6","2","2.0","0.5","–","–","0.5"
"35","ANZ","Australia","118","16","8.7","0.4","–","0.1","0.5"
"36","Bank of New York Mellon","United States","51","6","4.1","0.4","–","0.0","0.4"
"37","Taiwan Financial Holding","Taiwan","85","9","2.4","0.5","–","-0.0","0.5"
"38","Kasikornbank","Thailand","55","4","3.6","0.0","0.0","0.4","0.5"
"39","Yuanta Financial","Taiwan","73","6","2.1","0.0","0.0","0.4","0.5"
"40","Intesa Sanpaolo","Italy","117","15","9.0","0.3","–","0.1","0.4"
"41","Royal Bank of Canada","Canada","159","10","16.6","0.5","0.0","0.2","0.8"
"42","Regions Financial","United States","23","6","1.8","0.4","–","0.0","0.4"
"43","Toronto-Dominion Bank","Canada","70","7","5.6","0.7","0.0","0.1","0.8"
"44","European Investment Bank","Luxembourg","9","5","3.3","0.4","–","0.0","0.4"
"45","Landesbank Baden-Württemberg (LBBW)","Germany","21","2","1.7","0.2","–","0.2","0.4"
"46","State Bank of India","India","162","6","14.0","0.3","0.0","0.0","0.3"
"47","Mega Financial","Taiwan","88","10","2.4","0.3","–","0.1","0.4"
"48","PNC Financial Services","United States","89","9","4.0","0.4","0.0","0.0","0.4"
"49","KDB Financial Group","South Korea","77","12","3.3","0.2","–","0.1","0.3"
"50","Sberbank","Russia","8","1","2.1","0.3","–","0.0","0.3"
"51","First Abu Dhabi Bank","United Arab Emirates","112","9","11.2","0.3","0.0","0.0","0.3"
"52","China Minsheng Banking","China","63","7","11.1","0.1","–","0.2","0.3"
"53","Nordea","Finland","17","5","1.2","0.3","–","-0.0","0.3"
"54","JBIC","Japan","14","8","12.3","0.3","–","–","0.3"
"55","Masterlink Securities","Taiwan","38","2","1.2","–","0.1","0.2","0.3"
"56","Itaú Unibanco","Brazil","8","2","1.2","0.0","–","0.2","0.3"
"57","China Construction Bank","China","119","11","10.5","0.1","–","0.1","0.3"
"58","Export Development Canada","Canada","52","9","4.5","0.5","–","-0.0","0.5"
"59","World Bank","United States","15","3","0.7","0.2","–","–","0.2"
"60","Northern Trust","United States","16","5","4.7","0.2","–","–","0.2"
"61","BMO Financial Group","Canada","33","8","1.9","0.1","0.0","0.0","0.1"
"62","Taiwan Cooperative Financial","Taiwan","65","11","1.4","0.2","–","0.0","0.2"
"63","DZ Bank","Germany","35","7","1.8","0.2","–","0.1","0.3"
"64","DBS","Singapore","134","12","7.0","0.2","0.0","0.0","0.2"
"65","Banco Bilbao Vizcaya Argentaria (BBVA)","Spain","99","18","6.8","0.2","0.0","0.1","0.2"
"66","Hua Nan Financial","Taiwan","76","9","1.6","0.2","–","0.0","0.2"
"67","Gazprombank","Russia","7","1","1.4","–","0.2","0.1","0.2"
"68","China Development Financial Holding","Taiwan","60","4","1.0","0.0","–","0.2","0.2"
"69","Fubon Financial","Taiwan","54","7","1.3","0.1","–","0.1","0.2"
"70","Agricultural Bank of China","China","103","8","13.1","0.0","–","0.2","0.2"
"71","Sumitomo Mitsui Trust","Japan","84","11","5.2","0.2","–","–","0.2"
"72","CTBC Financial Holding","Taiwan","46","8","1.2","0.2","–","0.0","0.2"
"73","Nomura","Japan","63","10","4.3","0.0","0.0","0.1","0.2"
"74","China International Capital Corporation","China","68","6","8.1","–","–","0.2","0.2"
"75","CITIC","China","129","7","10.0","0.0","0.0","0.1","0.2"
"76","Korea Investment Holdings","South Korea","80","5","3.2","–","0.0","0.2","0.2"
"77","NongHyup Financial","South Korea","119","5","5.9","0.0","0.0","0.1","0.2"
"78","Axis Bank","India","50","7","4.9","0.0","0.0","0.1","0.2"
"79","Chang Hwa Commercial Bank","Taiwan","42","10","0.9","0.2","–","–","0.2"
"80","Guosen Securities","China","24","4","2.7","–","0.2","0.0","0.2"
"81","Taishin Financial Group","Taiwan","24","4","0.8","0.1","0.0","0.1","0.2"
"82","United Overseas Bank","Singapore","86","11","4.9","0.1","0.0","0.0","0.1"
"83","Bradesco","Brazil","14","1","0.7","0.1","–","0.0","0.1"
"84","KfW","Germany","22","8","2.8","0.2","–","0.0","0.2"
"85","Banco do Brasil","Brazil","13","1","0.6","0.1","–","0.0","0.1"
"86","Industrial Bank Company","China","64","5","9.4","0.0","–","0.1","0.1"
"87","BPCE Group","France","72","12","6.4","0.1","0.0","0.0","0.1"
"88","Norinchukin Bank","Japan","41","8","3.0","0.1","–","0.0","0.1"
"89","DNB","Norway","61","9","4.2","0.1","0.0","0.0","0.1"
"90","China Merchants Group","China","128","6","9.3","0.0","–","0.1","0.1"
"91","KB Financial Group","South Korea","96","5","3.2","0.0","0.0","0.1","0.1"
"92","China Development Bank","China","31","5","4.8","0.1","–","0.1","0.1"
"93","Korea Eximbank","South Korea","31","9","2.9","0.1","–","–","0.1"
"94","Riyad Bank","Saudi Arabia","43","4","5.0","0.1","0.0","0.0","0.1"
"95","ICICI Bank","India","84","6","3.6","0.0","0.0","0.1","0.1"
"96","Far Eastern International Bank","Taiwan","27","3","0.5","0.0","–","0.1","0.1"
"97","Capital Securities","China","27","2","0.5","–","–","0.1","0.1"
"98","HDFC Bank","India","25","3","3.2","–","0.0","0.1","0.1"
"99","CSC Financial","China","79","6","6.3","–","–","0.1","0.1"
"100","Public Investment Fund","Saudi Arabia","4","2","5.2","0.1","–","–","0.1"
